t_us,aX,aY,aZ,gX,gY,gZ
10687,-0.136,-0.244,1.004,-6.958,13.428,-3.479
25577,-0.142,-0.190,1.064,-0.732,22.095,-7.446
40363,-0.140,-0.165,1.064,7.935,34.546,-10.010
55184,-0.120,-0.134,1.071,11.536,37.781,-9.521
69953,-0.109,-0.132,1.082,13.489,37.842,-5.981
84739,-0.074,-0.158,1.096,12.512,34.729,-3.418
99456,-0.052,-0.183,1.084,8.850,21.606,0.183
114169,-0.048,-0.245,1.042,8.240,14.404,0.610
128845,-0.072,-0.258,1.025,10.254,3.479,1.099
143509,-0.093,-0.262,0.994,10.742,-2.258,1.770
158375,-0.091,-0.267,0.976,9.399,-10.132,2.441
173254,-0.082,-0.271,0.933,7.568,-9.033,0.732
188137,-0.078,-0.267,0.916,2.991,-2.808,-4.211
202991,-0.084,-0.241,0.890,2.014,-2.441,-6.287
217933,-0.095,-0.225,0.905,0.671,-5.676,-6.714
232820,-0.114,-0.201,0.933,-0.610,-5.005,-5.188
247707,-0.110,-0.200,0.944,-1.038,-3.357,-3.418
262603,-0.095,-0.204,0.966,-0.854,0.122,0.427
277474,-0.087,-0.201,0.972,-0.671,2.014,1.709
292335,-0.080,-0.178,0.975,-0.366,5.005,3.479
307118,-0.073,-0.171,0.982,0.854,4.028,3.906
321862,-0.066,-0.171,0.988,4.883,-1.404,3.967
336635,-0.066,-0.183,0.978,6.287,-4.517,4.150
351410,-0.068,-0.195,0.958,5.737,-8.850,5.859
366247,-0.072,-0.211,0.945,5.371,-8.972,7.263
380963,-0.067,-0.222,0.947,3.113,-6.592,8.545
395720,-0.061,-0.246,0.943,1.404,-5.249,8.972
410454,-0.063,-0.252,0.950,-0.610,-2.136,7.935
425312,-0.064,-0.261,0.988,-0.732,0.122,6.592
440021,-0.062,-0.261,1.000,1.648,3.479,2.319
454638,-0.059,-0.268,0.998,2.991,4.639,-0.488
469401,-0.065,-0.256,0.994,2.319,8.972,-6.287
484156,-0.070,-0.226,1.016,1.831,11.292,-8.179
498873,-0.076,-0.204,1.038,4.089,14.099,-9.155
513645,-0.107,-0.149,1.059,4.517,13.367,-9.033
528391,-0.120,-0.131,1.059,5.859,7.996,-5.676
543092,-0.136,-0.135,1.044,6.287,4.089,-1.953
557830,-0.125,-0.162,1.030,4.089,-3.845,5.188
572548,-0.074,-0.228,1.006,1.831,-5.981,6.042
587309,-0.056,-0.248,1.005,1.526,-5.981,2.258
602066,-0.061,-0.247,0.981,2.380,-5.798,1.221
616836,-0.081,-0.232,0.967,3.906,-5.981,1.831
631603,-0.107,-0.231,0.953,9.705,-6.226,4.822
646347,-0.103,-0.246,0.943,11.658,-5.615,5.859
661149,-0.080,-0.290,0.922,12.878,-2.747,4.883
675874,-0.066,-0.308,0.900,15.076,-0.244,3.296
690625,-0.053,-0.338,0.850,26.917,6.287,0.610
705346,-0.026,-0.475,0.710,28.198,12.939,-0.183
720085,-0.015,-0.466,0.663,10.254,34.546,8.789
734777,-0.033,-0.327,0.731,17.639,48.340,23.315
749470,-0.021,-0.314,0.815,72.021,93.933,68.542
764189,-0.044,-0.270,0.953,91.980,124.512,100.830
778791,-0.026,-0.250,0.958,107.178,230.041,143.921
793408,0.169,-0.645,0.374,60.974,298.828,162.598
808017,-0.101,-0.668,-0.025,-659.607,388.550,191.650
822899,-0.332,0.013,-0.318,-991.516,421.082,123.962
837654,-0.253,0.200,-0.271,-865.662,443.603,-117.676
852429,-0.155,0.155,-0.145,-634.644,418.762,-202.270
867285,-0.162,0.081,-0.119,-311.951,339.722,-248.657
882109,-0.187,-0.018,-0.103,-238.037,303.528,-237.244
897013,-0.184,-0.038,-0.098,-178.833,245.178,-190.674
911903,-0.158,-0.019,-0.084,-158.447,220.642,-161.072
926816,-0.145,0.004,-0.076,-71.899,183.350,-96.924
941600,-0.119,0.022,-0.064,-2.869,171.082,-63.110
956434,-0.108,0.022,-0.062,143.066,150.146,16.479
971144,-0.096,0.019,-0.061,211.060,138.367,58.960
985861,-0.090,0.012,-0.060,326.111,112.610,138.245
1000475,-0.073,0.004,-0.045,367.798,101.501,175.354
1015113,-0.067,0.007,-0.037,400.818,93.323,210.022
1029729,-0.063,0.011,-0.029,457.703,88.745,264.038
1044457,-0.062,-0.000,-0.009,481.628,93.018,281.372
1059260,-0.064,-0.018,0.004,495.972,117.126,299.683
1073885,-0.075,-0.058,0.031,476.562,139.404,304.138
1088512,-0.088,-0.068,0.041,384.399,201.965,311.340
